schooljaar,grade_year_secondary,outflow_position,gender,belgian_nonbelgian,eu_noneu,age_category,household_language_dutch,mother_education_level,school_progress,grade_secondary_education,school_year_level,field_of_study,residence_merged_municipality_name,residence_province_name,residence_central_city,target
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Tourism,Ieper,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Ned with no one,Primary education,1 year academic delay,3,2,Cooling and heating,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Non-Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Wood,Hoogstraten,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Mechanics-electricity,Bree,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Mechanics-electricity,Bree,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Mechanics-electricity,Bree,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Mechanics-electricity,Bree,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Mechanics-electricity,Bree,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Mechanics-electricity,Bree,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Mechanics-electricity,Bree,Limburg,No,enroll
